tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,2114,NULL,16.8,,,,,Population count from 2010 census,
NULL,2170,NULL,17.9,,,,,,
NULL,3373,NULL,15,,,,,TractKids,"Tract children age 0-17, number"
NULL,4386,NULL,2.8,,,,,Total count of children age 0-17 in tract ,
NULL,10766,NULL,15.2,,,,,,
NULL,3668,NULL,21.6,,,,,,
NULL,2891,NULL,30.5,,,,,,
NULL,7246,NULL,5.1,,,,,,
NULL,6926,NULL,3.7,,,,,,
NULL,5023,NULL,3.3,,,,,,
NULL,4375,NULL,3.1,,,,,,
NULL,4393,NULL,7.2,,,,,,
NULL,4588,NULL,6.7,,,,,,
NULL,7486,NULL,8.6,,,,,,
NULL,3932,NULL,1.7,,,,,,
NULL,4414,NULL,6.1,,,,,,
NULL,5823,NULL,1.5,,,,,,
NULL,7739,NULL,5.9,,,,,,
NULL,5918,NULL,2.6,,,,,,
NULL,7040,NULL,7.6,,,,,,
NULL,5017,NULL,6.6,,,,,,
NULL,6126,NULL,5.9,,,,,,
NULL,4995,NULL,11.5,,,,,,
NULL,2077,NULL,22.2,,,,,,
NULL,2049,NULL,34.3,,,,,,
NULL,2562,NULL,30.7,,,,,,
NULL,6999,NULL,6.3,,,,,,
NULL,3742,NULL,6.3,,,,,,
NULL,6995,NULL,1.3,,,,,,
NULL,5956,NULL,5.8,,,,,,
NULL,5223,NULL,1.3,,,,,,
NULL,4486,NULL,9.2,,,,,,
NULL,8001,NULL,7.3,,,,,,
NULL,1316,NULL,9.3,,,,,,
NULL,6824,NULL,8.9,,,,,,
NULL,9116,NULL,7.3,,,,,,
NULL,5304,NULL,43.5,,,,,,
NULL,4449,NULL,20,,,,,,
NULL,3451,NULL,0,,,,,,
NULL,2227,NULL,17.6,,,,,,
NULL,3292,NULL,27.3,,,,,,
NULL,1734,NULL,29.7,,,,,,
NULL,1620,NULL,19.1,,,,,,
NULL,3013,NULL,12.1,,,,,,
NULL,1157,NULL,23.1,,,,,,
NULL,2745,NULL,45.3,,,,,,
NULL,2699,NULL,25.7,,,,,,
NULL,3728,NULL,11.9,,,,,,
NULL,3081,NULL,31.2,,,,,,
NULL,2409,NULL,32.7,,,,,,
NULL,6612,NULL,40.7,,,,,,
NULL,5233,NULL,38.8,,,,,,
NULL,3700,NULL,27.6,,,,,,
NULL,2700,NULL,25.7,,,,,,
NULL,5806,NULL,15.8,,,,,,
NULL,2296,NULL,7.8,,,,,,
NULL,4407,NULL,3,,,,,,
NULL,3358,NULL,4.2,,,,,,
NULL,4770,NULL,7.4,,,,,,
NULL,5074,NULL,16.4,,,,,,
NULL,4130,NULL,8.8,,,,,,
NULL,3008,NULL,20.8,,,,,,
NULL,5473,NULL,20.5,,,,,,
NULL,3460,NULL,3.4,,,,,,
NULL,6419,NULL,13.3,,,,,,
NULL,5718,NULL,3.4,,,,,,
NULL,5659,NULL,3.5,,,,,,
NULL,7017,NULL,5.6,,,,,,
NULL,6067,NULL,2.5,,,,,,
NULL,4467,NULL,7.1,,,,,,
NULL,3080,NULL,11.4,,,,,,
NULL,3868,NULL,3.8,,,,,,
NULL,4338,NULL,9.6,,,,,,
NULL,4946,NULL,2.8,,,,,,
NULL,8386,NULL,12.5,,,,,,
NULL,1824,NULL,8.9,,,,,,
NULL,1561,NULL,5.7,,,,,,
NULL,4158,NULL,25.2,,,,,,
NULL,1832,NULL,29.1,,,,,,
NULL,2399,NULL,16.3,,,,,,
NULL,2750,NULL,13,,,,,,
NULL,5566,NULL,16.9,,,,,,
