state,avg_income
Oklahoma,63746.54956
North Carolina,68346.35582
Colorado,87501.38448
Mississippi,53628.72983
Florida,68544.29875
Vermont,76956.28736
Delaware,80919.78505
Nevada,70269.30521
Louisiana,61461.42568
New York,86466.79369
West Virginia,57900.35469
South Carolina,64121.39555
New Jersey,100028.0771
New Mexico,62819.89021
Hawaii,94745.90397
Arkansas,57789.62655
Missouri,68926.65345
Connecticut,100079.4976
South Dakota,71564.61074
District of Columbia,119155.7688
Iowa,72248.41562
Indiana,64785.56237
Massachusetts,100596.4983
Rhode Island,82390.87764
Ohio,67690.1621
Michigan,69519.69646
Minnesota,87556.94786
Pennsylvania,76830.43573
Washington,88203.18333
Wisconsin,74027.9184
Montana,67483.10881
Kentucky,62086.47303
Arizona,71330.18587
Illinois,82190.91686
Virginia,93893.63214
Maryland,100250.2485
Georgia,68964.42576
Wyoming,75678.71429
Utah,80123.94033
New Hampshire,91904.75089
North Dakota,79869.17692
Nebraska,75601.89954
Maine,69709.21277
California,88645.42329
Tennessee,64200.44065
Kansas,72409.58942
Texas,72811.63824
Oregon,77404.89018
Idaho,65166.37097
Alaska,93468.92969
Alabama,60618.70822
