censustract,state,avg_income,la1and10
1001020100,Alabama,81250,1
1001020200,Alabama,49000,1
1001020300,Alabama,62609,1
1001020400,Alabama,70607,1
1001020500,Alabama,96334,1
1001020600,Alabama,69521,1
1001020700,Alabama,39875,1
1001021000,Alabama,60900,1
1001021100,Alabama,49833,1
1003010100,Alabama,56464,1
1003010500,Alabama,69951,1
1003010600,Alabama,50536,1
1003010701,Alabama,112717,1
1003010704,Alabama,80678,1
1003010705,Alabama,76343,1
1003010800,Alabama,92714,1
1003010906,Alabama,51630,1
1003011101,Alabama,89861,1
1003011202,Alabama,79063,1
1003011405,Alabama,105806,1
1003011407,Alabama,70230,1
1003011501,Alabama,58843,1
1003011502,Alabama,57120,1
1005950100,Alabama,63398,1
1005950300,Alabama,42736,1
1005950400,Alabama,36164,1
1005950800,Alabama,55306,1
1009050102,Alabama,67554,1
1011952100,Alabama,27120,1
1011952200,Alabama,33074,1
1011952500,Alabama,58380,1
1013953000,Alabama,50217,1
1013953100,Alabama,30378,1
1013953200,Alabama,43456,1
1015000400,Alabama,35082,1
1015000500,Alabama,17339,1
1015000600,Alabama,13618,1
1015000700,Alabama,41528,1
1015000800,Alabama,30333,1
1015000900,Alabama,62176,1
1015001000,Alabama,65847,1
1015001100,Alabama,76326,1
1015001201,Alabama,35729,1
1015001202,Alabama,54688,1
1015001300,Alabama,47736,1
1015001500,Alabama,48945,1
1015001600,Alabama,45250,1
1015001700,Alabama,61242,1
1015001800,Alabama,56972,1
1015002101,Alabama,52500,1
1015002102,Alabama,80625,1
1015002103,Alabama,47159,1
1015002200,Alabama,54063,1
1017954400,Alabama,52857,1
1017954500,Alabama,47817,1
1017954600,Alabama,44485,1
1017954700,Alabama,52389,1
1019956000,Alabama,57692,1
1021060102,Alabama,63956,1
1023956700,Alabama,50673,1
1023957000,Alabama,42536,1
1025957601,Alabama,49359,1
1025957602,Alabama,65053,1
1025957700,Alabama,48304,1
1025957800,Alabama,57450,1
1025957902,Alabama,52440,1
1025958002,Alabama,40000,1
1031010100,Alabama,51719,1
1031010200,Alabama,64333,1
1031011000,Alabama,62829,1
1031011201,Alabama,88794,1
1031011202,Alabama,63511,1
1031011300,Alabama,40909,1
1033020100,Alabama,45659,1
1033020400,Alabama,68000,1
1033020500,Alabama,60304,1
1033020600,Alabama,53381,1
1033020701,Alabama,75395,1
1033020703,Alabama,72096,1
1033020802,Alabama,53091,1
1035960200,Alabama,39970,1
1035960300,Alabama,50188,1
1035960400,Alabama,44783,1
1035960600,Alabama,38657,1
1037961100,Alabama,51719,1
1037961200,Alabama,48015,1
1039961700,Alabama,54824,1
1039962100,Alabama,41385,1
1039962700,Alabama,35493,1
1039962900,Alabama,79271,1
1041963400,Alabama,56852,1
1041963500,Alabama,61466,1
1041963600,Alabama,43021,1
1043964900,Alabama,65506,1
1043965000,Alabama,49883,1
1043965700,Alabama,51477,1
1045020100,Alabama,56393,1
1045020300,Alabama,54922,1
1045020500,Alabama,41078,1
1045020802,Alabama,60357,1
1045021101,Alabama,63064,1
1047956300,Alabama,26862,1
1047956701,Alabama,75563,1
1047956800,Alabama,58056,1
1047956900,Alabama,40000,1
1047957000,Alabama,31133,1
1051030800,Alabama,61823,1
1051030901,Alabama,92500,1
1051031000,Alabama,58750,1
1051031100,Alabama,83010,1
1053969800,Alabama,42191,1
1053970200,Alabama,25938,1
1053970400,Alabama,57012,1
1053970700,Alabama,45606,1
1055000200,Alabama,34452,1
1055000400,Alabama,76362,1
1055000500,Alabama,31985,1
1055000600,Alabama,28220,1
1055000700,Alabama,18000,1
1055000900,Alabama,35918,1
1055001100,Alabama,93507,1
1055001600,Alabama,53949,1
1055001700,Alabama,40000,1
1055010200,Alabama,46941,1
1055010401,Alabama,46085,1
1055010501,Alabama,83358,1
1055010502,Alabama,72138,1
1055010601,Alabama,67179,1
1055010700,Alabama,55147,1
1059973000,Alabama,46392,1
1059973200,Alabama,48802,1
1061050300,Alabama,40282,1
1063060000,Alabama,30625,1
1063060200,Alabama,27167,1
1065040000,Alabama,55929,1
1065040100,Alabama,55764,1
1065040500,Alabama,39605,1
1067030500,Alabama,64744,1
1069040201,Alabama,78845,1
1069040202,Alabama,93542,1
1069040301,Alabama,49857,1
1069040302,Alabama,41719,1
1069040900,Alabama,67500,1
1069041400,Alabama,31923,1
1069041500,Alabama,44659,1
1069042000,Alabama,52278,1
1071950200,Alabama,41444,1
1071950400,Alabama,48750,1
1071950600,Alabama,52663,1
1071950800,Alabama,45365,1
1073000100,Alabama,32107,1
1073000300,Alabama,19948,1
1073000400,Alabama,33629,1
1073000500,Alabama,39047,1
1073000700,Alabama,15510,1
1073000800,Alabama,31250,1
1073001100,Alabama,46628,1
1073001200,Alabama,51117,1
1073001400,Alabama,51250,1
1073001500,Alabama,30021,1
1073001600,Alabama,46660,1
1073002100,Alabama,35163,1
1073002305,Alabama,77598,1
1073002306,Alabama,93250,1
1073002400,Alabama,30179,1
1073002900,Alabama,36573,1
1073003001,Alabama,41550,1
1073003002,Alabama,26000,1
1073003100,Alabama,30993,1
1073003500,Alabama,40230,1
1073003600,Alabama,51136,1
