censustract,state,medianfamilyincome,la1and10,povertyrate,white_percent,black_percent,asian_percent,hispanic_percent,pacificislander_percent,americannative_percent
21221980100,Kentucky,NULL,1,100,0.888888889,0,0,0,0,0
6083980100,California,NULL,1,100,0.545454545,0,0,0.181818182,0,0
4013980400,Arizona,NULL,1,100,0.333333333,0,0.533333333,0.133333333,0,0
26107981300,Michigan,NULL,1,100,0.877256318,0.077166065,0.011281588,0.024368231,0.000451264,0.013537906
17201980000,Illinois,NULL,1,100,0.5,0,0,0.5,0,0
26163985400,Michigan,NULL,1,100,1,0,0,0,0,0
48201980000,Texas,NULL,1,100,0.606060606,0.363636364,0,0.272727273,0,0
6037980033,California,NULL,1,100,0.639344262,0.06557377,0.180327869,0.131147541,0.016393443,0
19169000800,Iowa,NULL,1,100,0.886115445,0.01950078,0.062207488,0.031201248,0.000585023,0.000975039
13089023115,Georgia,NULL,1,100,0.0988228,0.895600991,0,0.048327138,0,0
48099980000,Texas,NULL,1,100,0.846153846,0.076923077,0,0.076923077,0,0
12086980700,Florida,12115,1,99.5,0.40560166,0.553941909,0.002074689,0.337136929,0.004149378,0.003112033
45079010408,South Carolina,NULL,1,94.1,0.34592929,0.633311709,0.000973078,0.018488485,0.00016218,0.002270516
17109010500,Illinois,NULL,1,91.8,0.80431602,0.124725677,0.031089978,0.057425018,0,0.001097293
13059000402,Georgia,NULL,1,91.2,0.755148096,0.121720733,0.08448519,0.039915374,0.000282087,0.000705219
8101000300,Colorado,NULL,1,90.9,0.765015015,0.160660661,0.006006006,0.26951952,0.000750751,0.027027027
17113000200,Illinois,NULL,1,90.1,0.882177374,0.055997726,0.022313815,0.056850483,0.000426379,0.001705514
8101000903,Colorado,NULL,1,87.8,0.71042471,0.110682111,0.03989704,0.232947233,0.005148005,0.007722008
39017010104,Ohio,NULL,1,87.3,0.869135802,0.051282051,0.053181387,0.024311491,0,0.002279202
48453002319,Texas,NULL,1,87.1,0.658097686,0.314652956,0.002056555,0.267866324,0,0.001028278
45079010806,South Carolina,NULL,1,85.2,0.371171171,0.623423423,0,0.007207207,0,0
13059000100,Georgia,NULL,1,84.9,0.866541353,0.071428571,0.034461153,0.036340852,0,0.000626566
13051000100,Georgia,10921,1,83.5,0.394257316,0.532854776,0.028713418,0.066813915,0.001104362,0.000552181
18157010300,Indiana,NULL,1,82,0.821991085,0.030312036,0.120950966,0.027340267,0.000297177,0.001188707
42101989100,Pennsylvania,NULL,1,82,0.131616227,0.716548616,0.006567933,0.158531874,0,0
6019005408,California,NULL,1,81.8,0.777429467,0.086206897,0.077586207,0.218652038,0,0.006269592
28047000100,Mississippi,NULL,1,81.7,0.545098039,0.105882353,0.290196078,0.066666667,0.003921569,0
39009973901,Ohio,NULL,1,81.3,0.847415661,0.052615289,0.072578149,0.02537914,0.000154751,0.001238007
21111003000,Kentucky,10123,1,81,0.072370266,0.893969144,0.000280505,0.012903226,0.004488079,0.004207574
37067000801,North Carolina,11458,1,80.5,0.045395167,0.826257348,0.001306336,0.141737427,0,0.003265839
8031000800,Colorado,9707,1,80.2,0.374309392,0.278314917,0.084944751,0.538674033,0,0.035220994
47157980100,Tennessee,NULL,1,78.9,0.571428571,0.428571429,0,0,0,0
18035000902,Indiana,NULL,1,78.9,0.878770217,0.068337462,0.017485065,0.026373306,0.001894215,0.001602798
22071001751,Louisiana,16375,1,78.8,0.194976077,0.616028708,0.044258373,0.218899522,0.003588517,0.002392344
18157005500,Indiana,6932,1,78.2,0.686803388,0.020062416,0.253009362,0.046143558,0.000222916,0.002452073
39009973902,Ohio,43000,1,77.4,0.931883228,0.016313681,0.031196337,0.016313681,0.00057241,0.00057241
18157005400,Indiana,NULL,1,76.1,0.82836767,0.007290016,0.141362916,0.030903328,0.000158479,0.000475436
26065004100,Michigan,NULL,1,75.9,0.926584397,0.010876386,0.034093286,0.023635223,0.000418323,0.002091613
49049001602,Utah,23333,1,75.9,0.92920354,0.001340842,0.022526146,0.062483239,0.00670421,0.002949853
26139024500,Michigan,NULL,1,75.3,0.886984861,0.051934399,0.020605551,0.034272498,0.000525652,0.004310345
47037014800,Tennessee,12776,1,74.7,0.034857691,0.921330349,0.002558363,0.032938919,0.000639591,0.003197953
26037011200,Michigan,NULL,1,74.7,0.70340259,0.154471545,0.101174345,0.034025896,0,0.002710027
17143000900,Illinois,12650,1,74.4,0.196862745,0.742352941,0.004705882,0.020784314,0,0.001176471
36119981000,New York,53125,1,73.8,0.39659803,0.440465533,0.096239928,0.143688451,0.003133393,0.00179051
28121020500,Mississippi,77955,1,72.6,0.417773905,0.577216293,0.00087127,0.006970159,0.000217817,0.001089087
48309000200,Texas,26175,1,72.5,0.769768092,0.077954736,0.070690137,0.135792121,0.000558815,0.00474993
48041002012,Texas,NULL,1,71.9,0.848747294,0.038199814,0.05861429,0.134395298,0.00030931,0.003557068
13121007808,Georgia,12131,1,71.5,0.054342778,0.893172318,0,0.093590339,0,0.001393405
36029009110,New York,NULL,1,71.4,0.659229562,0.089070943,0.20463657,0.052292139,0.000174307,0.002091686
22035000300,Louisiana,19531,1,71.1,0.02308627,0.965978129,0.000405022,0.00891049,0,0.002430134
17037002200,Illinois,61250,1,71,0.681848404,0.20994016,0.049700798,0.092918883,0.00049867,0.002327128
48439101700,Texas,15500,1,70.6,0.244274809,0.573282443,0.018320611,0.245801527,0.002671756,0.013740458
11001007401,District of Columbia,14422,1,70,0.007042254,0.973073737,0.002071251,0.012841756,0,0.004142502
19169000500,Iowa,26250,1,69.9,0.674074074,0.057971014,0.233816425,0.037359098,0.000322061,0.001932367
28083950200,Mississippi,14539,1,69.7,0.311881188,0.673267327,0.000660066,0.010231023,0,0.000660066
1097001502,Alabama,12344,1,69.2,0.01119403,0.975746269,0,0.006840796,0,0.001865672
21151010500,Kentucky,NULL,1,69,0.884505022,0.078909613,0.013390722,0.016738403,0.00143472,0.00263032
6037403200,California,NULL,1,68.6,0.861892583,0.074168798,0.046035806,0.184143223,0,0
39049002900,Ohio,12703,1,68.6,0.040962838,0.886402027,0.008445946,0.027871622,0.021537162,0.002111486
