"state","average_rate"
"Mississippi","23.133080424886188"
"Louisiana","21.50496014171831"
"Alabama","20.057045840407476"
"New Mexico","19.64959839357428"
"Kentucky","19.515225225225212"
"West Virginia","19.467561983471086"
"Arkansas","19.00379008746355"
"Georgia","18.332396525293806"
"South Carolina","17.646837763519688"
"Tennessee","17.574479516454023"
"Oklahoma","17.51912045889102"
"District of Columbia","17.501675977653637"
"Ohio","17.395378865103627"
"Michigan","16.968577648766317"
"Texas","16.732226040473485"
"Arizona","16.67473684210528"
"Indiana","16.47498341074984"
"North Carolina","16.348137931034476"
"Missouri","15.734938892882823"
"Florida","15.302462936394088"
"New York","15.073121149897347"
"Illinois","15.014799357945408"
"Idaho","14.810402684563753"
"California","14.551258723828528"
"Oregon","14.43837772397096"
"Montana","14.240959409594089"
"Pennsylvania","14.067476635514"
"Nevada","14.06132352941177"
"South Dakota","13.715068493150694"
"Rhode Island","13.63278008298755"
"Kansas","13.597911227154045"
"Wisconsin","13.58239942528736"
"Maine","13.55641025641026"
"Delaware","12.857009345794404"
"Iowa","12.527217496962333"
"Nebraska","12.193045112781949"
"Washington","12.052525951557111"
"Massachusetts","11.878732106339468"
"Virginia","11.870360551431588"
"Wyoming","11.699236641221376"
"Colorado","11.60619967793881"
"North Dakota","11.429756097560974"
"Alaska","11.428742514970063"
"Vermont","11.275956284153006"
"Utah","11.236752136752147"
"New Jersey","11.127172827172817"
"Connecticut","11.115821256038636"
"Minnesota","10.981709145427283"
"Maryland","10.514316546762586"
"Hawaii","9.759501557632403"
"New Hampshire","8.599657534246573"
