"state","sum_lowaccess_tracts"
"Texas","300"
"Minnesota","137"
"Oklahoma","128"
"Missouri","121"
"Mississippi","121"
"Arkansas","116"
"Kansas","113"
"Illinois","111"
"Iowa","104"
"California","100"
"Arizona","94"
"Nebraska","87"
"Alabama","84"
"Wisconsin","83"
"Louisiana","81"
"Virginia","77"
"Montana","76"
"North Dakota","75"
"New Mexico","72"
"Florida","72"
"Colorado","70"
"South Dakota","70"
"Georgia","66"
"Kentucky","64"
"Washington","60"
"Tennessee","60"
"Michigan","58"
"North Carolina","54"
"Idaho","50"
"Oregon","49"
"South Carolina","46"
"New York","44"
"West Virginia","43"
"Indiana","41"
"Alaska","39"
"Ohio","36"
"Pennsylvania","34"
"Wyoming","33"
"Utah","31"
"Nevada","25"
"Maine","22"
"New Hampshire","10"
"Hawaii","8"
"Vermont","8"
"Maryland","5"
"New Jersey","4"
"Massachusetts","3"
"Rhode Island","1"
"District of Columbia","0"
"Connecticut","0"
"Delaware","0"
